Date,Observer,LEGNO,Frame ,Area of Image,Time,SPEC CODE,Number,IDREL,CONF,Birds (Y/N),General Notes,# of Culled Images,Reviewer Notes,Reviewed,Added to URI,PASight
11/6/23,KRM,47,2504,23/24,101326,UNBI,1,3,0,Y,,,,√,,559
11/6/23,KRM,47,2521,4,101416,UNBI,1,3,0,Y,,,,√,,560
11/6/23,KRM,47,2530,10,101444,UNBI,1,3,0,Y,,,,√,,561
11/6/23,KRM,47,2531,20,101446,UNBI,1,3,0,Y,,,,√,,562
11/6/23,KRM,47,2545,5,101528,UNBI,1,3,0,Y,,,,√,,563
11/6/23,KRM,47,2560,6,101614,DE-U,1,9,0,N,,,,√,,564
11/6/23,KRM,47,2595,5,101800,DE-U,1,9,0,?,not sure if bird or debris,,looks like debris,√,,565
11/6/23,KRM,47,2603,25,101824,UNBI,1,3,0,Y,,,,√,,566
11/6/23,KRM,47,2404,22/23,101826,UNBI,1,2,0,Y,sort of blurry so went idrel 2,,,√,,567
11/6/23,KRM,47,2611,19,101848,UNBI,1,3,0,Y,,,,√,,568
11/6/23,KRM,47,2626,25/26,101932,DE-U,1,9,0,N,maybe balloon? Can't tell if string coming out of it,,it could be but de-u is fine,√,,569
11/6/23,KRM,47,2676,3,102202,UNBI,1,3,0,Y,,,,√,,570
11/6/23,KRM,47,2741,scattered,102518,UNBI,12,3,1,Y,,,,√,,571
11/6/23,KRM,55,2865,23,103130,DE-U,1,9,0,N,,,,√,,572
11/6/23,KRM,55,2880,20,103216,DE-U,1,9,0,N,,,,√,,573
11/6/23,KRM,55,2924,16,103428,OCSU,1,3,0,N,,,,√,,574
11/6/23,KRM,55,2965,5,103632,UNBI,1,3,0,Y,I think based off size of the one in next frame SIW,,,√,,575
11/6/23,KRM,55,2966,scattered,103634,UNBI,5,3,0,Y,,,,√,,576
11/6/23,KRM,55,2973,23,103656,DE-U,1,3,0,Y,,,i think this is blurry debris,√,,577
11/6/23,KRM,55,3022,4,103922,UNBI,1,3,0,Y,,,,√,,578
11/6/23,KRM,55,3061,18,104120,UNBI,1,3,0,Y,,,,√,,579
11/6/23,KRM,55,3064,25,104128,UNBI,1,3,0,Y,,,,√,,580
11/6/23,KRM,55,3086,6,104234,UNBI,1,3,0,Y,,,,√,,581
11/6/23,KRM,55,3089,20/21,104244,UNBI,1,3,0,Y,,,,√,,582
11/6/23,KRM,55,3107,12,104338,DE-U,1,9,0,N,not sure what this is,,odd,√,,583
11/6/23,KRM,55,3182,35,104724,UNBI,1,3,0,Y,,,,√,,584
11/6/23,KRM,55,3240,23/24,105018,UNBI,1,3,0,Y,,,,√,,585
11/6/23,SYH,63,3510,13,110350,DE-B,1,9,0,N ,,,,√,,586
11/6/23,SYH,63,3551,15,110553,UNBI,1,3,0,Y,,,,√,,587
11/6/23,SYH,63,3592,23,110756,UNBI,1,3,0,Y,,,,√,,588
11/6/23,SYH,63,3609,9,110847,UNBI,1,3,0,Y,,,,√,,589
11/6/23,SYH,63,3675,12,111206,UNBI,2,3,0,Y,,,,√,,590
11/6/23,SYH,63,3680,20/27,111221,UNBI,1,3,0,Y,,,,√,,591
11/6/23,SYH,63,3681,26,111224,UNBI,1,3,0,Y,,,,√,,592
11/6/23,SYH,63,3690,8,111251,UNBI,2,3,0,Y,,,,√,,593
11/6/23,SYH,63,3693,13,111300,UNBI,1,3,0,Y,,,,√,,594
11/6/23,SYH,63,3730,19,111451,UNBI,1,3,0,Y,,,,√,,595
11/6/23,SYH,63,3772,9,111657,UNBI,1,3,0,Y,,,,√,,596
11/6/23,SYH,63,3775,10,111706,UNBI,1,3,0,Y,,,,√,,597
11/6/23,KRM,1/-,4136,7,123640,UNSE,1,3,0,N,,,,√,,598
11/6/23,KRM,1/-,4171,3,123824,UNSE,1,3,0,N,check if this is the same guy,,,√,,599
11/6/23,KRM,1/-,4214,13,124034,UNSE,1,3,0,N,check if this is the same guy,,,√,,600
11/6/23,KRM,1/-,4288,1,124416,UNSE,1,3,0,N,check if this is the same guy,,,√,,601
11/6/23,KRM,1/-,4291,1,124426,UNSE,1,3,0,N,ok so definitely at least two here so check positions to see which if any are resights,,yeah it seems like one or two may be resights but some are new,√,,602
11/6/23,KRM,1/-,4340,27,124652,UNSE,1,3,0,N,check if resight; these have all likely been gray seals but put unse to be conservative since quality is sort of blurry,,,√,,603
11/6/23,KRM,1/-,4476,26,125342,UNSE,1,3,0,N,check if resight,,,√,,604
11/6/23,KRM,1/-,4477,2,125344,UNSE,1,3,0,N,check if resight; different from the one in the previous frame,,,√,,605
11/6/23,KRM,1/-,4536,4,125642,UNSE,1,3,0,N,check if resight,,,√,,606
11/6/23,KRM,1/-,4667,28,130316,UNSE,1,3,0,N,check if resight; clear quality and I feel pretty confident this is a male GRSE if we want to make it GRSE,,is this based on color? i feel like i can't really see the head well ,√,,607
11/6/23,SYH,71,4813,27,131035,UNBI,1,3,0,Y,,,,√,,608
11/6/23,SYH,71,4829,31,131123,UNBI,1,3,0,Y,,,,√,,609
11/6/23,SYH,71,4849,"7, 14",131223,UNBI,4,3,0,Y,,,,√,,610
11/6/23,SYH,71,4851,16,131229,UNBI,1,9,0,?,"dark spot, maybe unbi?",,agree,√,,611
11/6/23,SYH,71,4854,15,131239,UNBI,1,3,0,Y,,,,√,,612
11/6/23,SYH,71,4881,14,131400,UNBI,2,3,0,Y,,,,√,,613
11/6/23,SYH,71,4896,4,131445,UNBI,1,2,0,Y,,,,√,,614
11/6/23,SYH,71,4902,30,131503,UNBI,1,3,0,Y,,,,√,,615
11/6/23,SYH,71,4922,9,131603,UNBI,1,2,0,Y,,,,√,,616
11/6/23,SYH,71,4930,"16, 23",131627,UNBI,7,3,0,Y,,,,√,,617
11/6/23,SYH,71,4931,12,131630,UNSE,1,3,0,N ,seal or undo?,,looks like a seal to me,√,,618
11/6/23,SYH,71,4932,"20, 27, 28",131633,UNBI,8,3,0,Y,,,,√,,619
11/6/23,SYH,71,4937,16,131648,UNBI,1,3,0,Y,,,,√,,620
11/6/23,SYH,71,4956,14,131745,UNBI,4,3,0,Y,,,,√,,621
11/6/23,SYH,71,4957,"26, 27, 34",131748,UNBI,9,3,0,Y,,,,√,,622
11/6/23,SYH,71,4983,17/18,131906,UNBI,1,2,0,Y,,,,√,,623
11/6/23,SYH,71,4992,16,131933,UNBI,8,3,0,Y,,,,√,,624
11/6/23,SYH,71,4995,"2, 19, 25, 29",131943,UNBI,9,3,1,Y,,,,√,,625
11/6/23,SYH,71,4996,"6, 13",131946,UNBI,4,3,0,Y,,,,√,,626
11/6/23,SYH,71,4998,30,131952,UNBI,2,3,0,Y,,,,√,,627
11/6/23,SYH,71,5000,7,131958,UNBI,6,3,0,Y,,,,√,,628
11/6/23,SYH,71,5002,"4, 9",132004,UNBI,10,3,0,Y,,,,√,,629
11/6/23,SYH,71,5006,"12, 19",132016,UNBI,7,3,0,Y,,,,√,,630
11/6/23,SYH,71,5018,22,132052,UNBI,1,2,0,Y,,,,√,,631
11/6/23,SYH,71,5032,16,132134,UNBI,2,3,0,Y,,,,√,,632
11/6/23,SYH,71,5034,18,132140,UNBI,6,3,0,Y,,,,√,,633
11/6/23,SYH,71,5035,12,132143,UNBI,2,3,0,Y,,,,√,,634
11/6/23,SYH,71,5047,22,132219,UNBI,1,3,0,Y,,,,√,,635
11/6/23,SYH,71,5048,15,132222,UNBI,2,2,0,Y,,,,√,,636
11/6/23,SYH,71,5114,4,132540,DE-B,1,9,0,N ,,,,√,,637
11/6/23,SYH,71,5132,24,132634,DE-B,1,9,0,N ,,,,√,,638
11/6/23,KRM,79,5348,28,133722,UNBI,1,3,0,Y,,,,√,,639
11/6/23,KRM,79,5374,21,133842,UNBI,1,3,0,Y,,,,√,,640
11/6/23,KRM,79,5420,8,134100,UNBI,2,3,0,Y,,,,√,,641
11/6/23,KRM,79,5427,4,134120,DE-B,1,9,0,N,,,,√,,642
11/6/23,KRM,79,5428,"15, 22",134124,UNBI,2,3,0,Y,,,,√,,643
11/6/23,KRM,79,5455,29,134244,UNBI,1,3,0,Y,,,,√,,644
11/6/23,KRM,79,5502,20/21,134506,DE-B,1,9,0,N,,,,√,,645
11/6/23,KRM,79,5515,13,134544,UNBI,1,3,0,Y,,,,√,,646
11/6/23,KRM,79,5563,22,134810,UNBI,1,9,0,?,"I think this may be a bird - big, concentrated size for a glare spot compared to all the other spots in frame",,,√,,647
11/6/23,KRM,79,5582,24,134906,UNBI,1,3,0,Y,,,,√,,648
11/6/23,KRM,79,5594,3,134942,UNBI,1,3,0,Y,looks similar to 5563 but more clear,,,√,,649
11/6/23,KRM,79,5622,31,135106,UNBI,10,3,0,Y,,,,√,,650
11/6/23,KRM,79,5624,5,135112,UNBI,6,3,0,Y,,,,√,,651
11/6/23,KRM,79,5632,12,135136,UNBI,1,3,0,Y,,,,√,,652
11/6/23,KRM,79,5652,27,135236,UNBI,1,3,0,Y,,,,√,,653
11/6/23,KRM,79,5655,14,135246,UNBI,1,3,0,Y,,,,√,,654
11/6/23,KRM,79,5665,"30, 6",135316,UNBI,2,3,0,Y,,,,√,,655
11/6/23,KRM,87,5765,30/31,135816,UNBI,1,3,0,Y,,,,√,,656
11/6/23,KRM,87,5782,8,135908,UNBI,3,3,0,Y,,,,√,,657
11/6/23,KRM,87,5783,"10, 32, 33",135910,UNBI,5,3,0,Y,,,,√,,658
11/6/23,KRM,87,5787,10,135922,UNBI,1,3,0,Y,,,,√,,659
11/6/23,KRM,87,5793,25,135940,UNBI,1,3,0,Y,,,,√,,660
11/6/23,KRM,87,5802,"25/26, 20",140008,UNBI,5,3,0,Y,,,,√,,661
11/6/23,KRM,87,5805,25/26,140016,UNBI,1,3,0,Y,,,,√,,662
11/6/23,KRM,87,5813,29,140040,UNBI,1,3,0,Y,,,,√,,663
11/6/23,KRM,87,5818,23/24,140056,UNBI,2,3,0,Y,,,,√,,664
11/6/23,KRM,87,5825,"1, 8",140116,UNBI,7,3,1,Y,,,,√,,665
11/6/23,KRM,87,5846,"5, 14",140220,UNBI,2,3,0,Y,,,,√,,666
11/6/23,KRM,87,5877,34,140354,UNBI,1,3,0,Y,,,,√,,667
11/6/23,KRM,87,5879,4,140400,UNBI,1,3,0,Y,,,,√,,668
11/6/23,KRM,87,5880,9,140402,UNBI,1,3,0,Y,,,,√,,669
11/6/23,KRM,87,5895,"4, 18",140448,UNBI,3,3,0,Y,,,,√,,670
11/6/23,KRM,87,6010,3,141032,UNBI,1,3,0,Y,"interesting pattern, can this be ID'd?",,i think a lot of them are probably kittiwakes,√,,671
11/6/23,KRM,87,6102,26,141510,DE-U,1,9,0,N,,,,√,,672
11/6/23,KRM,87,6161,20,141806,UNBI,1,3,0,Y,,,,√,,673
11/6/23,SYH,3/-,6164,10,141816,UNDO,2,3,0,N ,,,changing to idrel 3 based on clearer next two frames,√,,674
11/6/23,SYH,3/-,6165,26,141819,SADO,3,3,0,N ,,,i think this and next one can be sado,√,,675
11/6/23,SYH,3/-,6219,9,142102,SADO,2,3,0,N ,,,,√,,676
11/6/23,SYH,95,6256,"11, 17",142253,UNBI,2,3,0,Y,,,,√,,677
11/6/23,SYH,95,6284,11,142417,DE-U,1,9,0,N ,,,,√,,678
11/6/23,SYH,95,6285,33,142420,UNBI,1,2,0,Y,,,,√,,679
11/6/23,SYH,95,6292,9,142441,UNBI,1,3,0,Y,,,,√,,680
11/6/23,SYH,95,6299,26,142502,UNSE,1,3,0,N ,,,,√,,681
11/6/23,SYH,95,6399,11,143003,UNBI,1,3,0,Y,,,,√,,682
11/6/23,SYH,95,6427,35,143127,UNBI,1,3,0,Y,,,,√,,683
11/6/23,SYH,95,6613,20,144046,UNBI,1,3,0,Y,,,,√,,684
,,,,,,,,,,,,,,,,
